original_file,new_file,canonical_file,asset_type,module_id,sequence,side,group,width,height,notes
說明書/遊戲規則說明書_頁面_01.png,knarr_core_rules_p001.png,rulebook_images/knarr_core_rules_p001.png,rulebook_page,core,1,none,rulebook,1738,2478,核心規則書頁面。
說明書/遊戲規則說明書_頁面_02.png,knarr_core_rules_p002.png,rulebook_images/knarr_core_rules_p002.png,rulebook_page,core,2,none,rulebook,1863,2677,核心規則書頁面。
說明書/遊戲規則說明書_頁面_03.png,knarr_core_rules_p003.png,rulebook_images/knarr_core_rules_p003.png,rulebook_page,core,3,none,rulebook,1795,2603,核心規則書頁面。
說明書/遊戲規則說明書_頁面_04.png,knarr_core_rules_p004.png,rulebook_images/knarr_core_rules_p004.png,rulebook_page,core,4,none,rulebook,1874,2692,核心規則書頁面。
說明書/遊戲規則說明書_頁面_05.png,knarr_core_rules_p005.png,rulebook_images/knarr_core_rules_p005.png,rulebook_page,core,5,none,rulebook,1704,2457,核心規則書頁面。
說明書/遊戲規則說明書_頁面_06.png,knarr_core_rules_p006.png,rulebook_images/knarr_core_rules_p006.png,rulebook_page,core,6,none,rulebook,1883,2717,核心規則書頁面。
說明書/遊戲規則說明書_頁面_07.png,knarr_core_rules_p007.png,rulebook_images/knarr_core_rules_p007.png,rulebook_page,core,7,none,rulebook,1870,2622,核心規則書頁面。
說明書/遊戲規則說明書_頁面_08.png,knarr_core_rules_p008.png,rulebook_images/knarr_core_rules_p008.png,rulebook_page,core,8,none,rulebook,1796,2604,核心規則書頁面。
說明書/遊戲規則說明書_頁面_09.png,knarr_core_rules_p009.png,rulebook_images/knarr_core_rules_p009.png,rulebook_page,core,9,none,rulebook,1748,2525,核心規則書頁面。
說明書/遊戲規則說明書_頁面_10.png,knarr_core_rules_p010.png,rulebook_images/knarr_core_rules_p010.png,rulebook_page,core,10,none,rulebook,1787,2593,核心規則書頁面。
說明書/遊戲封面_頁面_1.png,knarr_core_cover_p001.png,rulebook_images/knarr_core_cover_p001.png,rulebook_page,core,1,none,cover,2052,2844,封面/盒背來源素材。
說明書/遊戲封面_頁面_2.png,knarr_core_cover_p002.png,rulebook_images/knarr_core_cover_p002.png,rulebook_page,core,2,none,cover,1740,2412,封面/盒背來源素材。
說明書/遊戲起始設置1.png,knarr_core_setup_p001.png,rulebook_images/knarr_core_setup_p001.png,rulebook_page,core,11,none,setup,1055,1491,使用者 2026-06-16 新增的遊戲起始設置頁。
說明書/遊戲起始設置2.png,knarr_core_setup_p002.png,rulebook_images/knarr_core_setup_p002.png,rulebook_page,core,12,none,setup,1055,1491,使用者 2026-06-16 新增的遊戲起始設置頁。
